Escenario,Repeticion,Peatones_Pasados,Peatones_Cola,Espera_Prom_Pea,Tamaño_Cola_Pea,Norte-L1_Pasados,Norte-L1_Cola,Norte-L1_Espera_Prom,Norte-L1_Tam_Cola,Sur-L2_Pasados,Sur-L2_Cola,Sur-L2_Espera_Prom,Sur-L2_Tam_Cola,Este-L3_Pasados,Este-L3_Cola,Este-L3_Espera_Prom,Este-L3_Tam_Cola,Oeste-L4_Pasados,Oeste-L4_Cola,Oeste-L4_Espera_Prom,Oeste-L4_Tam_Cola
Escenario_1,1,84,33,467.8707855012129,33,85,40,776.3463064190925,40,85,31,536.2862712240326,31,477,18,177.94178787550578,18,450,32,159.0134140357548,32
Escenario_1,2,89,40,769.2651085900144,40,86,32,796.2652727289127,32,88,25,586.4572035202243,25,456,51,168.62861449452373,51,500,19,155.36524601712568,19
Escenario_1,3,89,22,440.9778698192357,22,87,35,714.0220676018354,35,88,21,551.7757687006961,21,403,28,149.3487869097111,28,454,19,160.98871676265583,19
Escenario_1,4,85,47,811.6703641989761,47,88,33,740.4602874554112,33,86,37,869.7606170645771,37,419,39,146.28511424718715,39,455,23,153.85508130631777,23
Escenario_1,5,85,32,576.5231015041685,32,85,34,788.7329014893472,34,85,27,582.4149414838412,27,438,45,142.26048346899853,45,471,24,157.05111153909658,24
Escenario_2,1,124,0,18.65515896863187,0,90,0,85.02606109648858,0,119,7,105.46528140520986,7,290,204,713.8088928261258,204,291,186,747.3709795188088,186
Escenario_2,2,131,3,21.712156643085184,3,119,3,93.81250316641,3,124,3,96.05043373210259,3,286,187,769.8771941289107,187,291,161,763.4285921218643,161
Escenario_2,3,124,2,20.186497328479167,2,104,0,81.77809049342886,0,113,3,87.26594326005595,3,284,183,687.2484346258765,183,293,178,839.6175517554091,178
Escenario_2,4,109,0,21.18862128220962,0,123,1,108.91020186088902,1,113,1,91.93050932247664,1,286,229,707.5361126146558,229,289,184,596.1328275855915,184
Escenario_2,5,117,1,25.555603555665005,1,107,1,83.65280032950818,1,110,5,81.87131275821805,5,287,203,834.7228319984117,203,290,173,692.9785979739113,173
Escenario_3,1,123,0,46.3005607725593,0,111,8,114.31604282208305,8,110,8,115.9548155009187,8,357,131,498.8486256914362,131,367,129,490.6082073914602,129
Escenario_3,2,116,3,68.85378755607195,3,123,6,151.94247667968472,6,110,12,143.21800599846569,12,355,104,452.19661668456246,104,359,78,395.85305548419575,78
Escenario_3,3,126,0,34.86858192924318,0,115,4,110.15795141573942,4,112,10,118.13447823765055,10,356,96,389.4526034323109,96,363,132,542.5204158889661,132
Escenario_3,4,108,1,39.820093770322714,1,123,8,142.75296472373057,8,125,9,146.85259736709148,9,355,145,518.819420531947,145,355,137,602.6945504977119,137
Escenario_3,5,134,0,45.97621894536279,0,102,10,100.0090743267224,10,121,5,132.47301655155482,5,356,112,476.0399046262528,112,354,99,434.6536537587209,99
Escenario_4,1,112,17,230.7233140199871,17,107,2,256.3557004448806,2,112,1,232.51693237987936,1,463,30,273.9216026030425,30,435,56,285.89042768682975,56
Escenario_4,2,106,2,112.03822048527167,2,108,6,332.7929489858206,6,93,6,205.69611571092912,6,452,25,243.78157560477706,25,432,61,202.34996304421887,61
Escenario_4,3,105,3,105.65520741249476,3,105,12,210.36505709069615,12,111,8,424.4878213383422,8,443,6,124.68821187508237,6,424,49,205.41710295133618,49
Escenario_4,4,108,9,202.90062076054218,9,104,16,357.471726218273,16,103,16,290.90616294368107,16,454,44,287.7610025202422,44,400,58,178.82243642257959,58
Escenario_4,5,107,5,185.1850121984945,5,106,18,297.3051320012718,18,114,18,414.47316858372506,18,457,38,244.3322312543126,38,430,87,334.6510745190268,87
